🐼CCTV央視,#genre#
CCTV-13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2 财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3 综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5 体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6 电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9 纪录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001248/index.m3u8
CCTV-16 奥林匹克 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8
CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2 财经,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3 综艺,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4 中文国际,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5 体育,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+ 体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6 电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7 国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8 电视剧,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9 纪录,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10 科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11 戏曲,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13 新闻,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV-17 农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CCTV-1 综合,mitv://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV-2 财经,mitv://generationnexxxt.com:19806/ce08ee69cea5402c99bf285704eac3e5
CCTV-3 综艺,mitv://generationnexxxt.com:19806/784f6703531044be9cee14b793948d30
CCTV-4 中文国际,mitv://generationnexxxt.com:19806/50c3e18e04bf478db59251455cf3d309
CCTV-5 体育,mitv://generationnexxxt.com:19806/7d00bdeddb6c422796e62ae9e8b9398d
CCTV-5+ 体育赛事,mitv://generationnexxxt.com:19806/5b390808c064415fa55fa30feb8788ff
CCTV-6 电影,mitv://generationnexxxt.com:19806/3ec70c48b2024e4f9210169aec2914c7
CCTV-7 国防军事,mitv://generationnexxxt.com:19806/e70ef03e57794075962ec3960df5b167
CCTV-8 电视剧,mitv://generationnexxxt.com:19806/7c422f17b94c47928316bba288c64a25
CCTV-9 纪录,mitv://generationnexxxt.com:19806/1d25488429514e78ab4d100819bece3e
CCTV-10 科教,mitv://generationnexxxt.com:19806/db6e0eae415d4d3c80389e51f8aac382
CCTV-11 戏曲,mitv://generationnexxxt.com:19806/aed547d30ca64a089f9b9adad8d9ee91
CCTV-12 社会与法,mitv://generationnexxxt.com:19806/70a7e5f93ab14d978706c237fe142277
CCTV-13 新闻,mitv://generationnexxxt.com:19806/89e640d10d2646d3b7580c9bd85e9565
CCTV-14 少儿,mitv://generationnexxxt.com:19806/5ce5a7ff03b541cc8ef405312b4fec09
CCTV-15 音乐,mitv://generationnexxxt.com:19806/8914df6967f546eb8cf20ea35946ad8d
CCTV-1 综合,https://php.61073736.repl.co/sxg.php?id=CCTV-1H265_4000
CCTV-2 财经,https://php.61073736.repl.co/sxg.php?id=CCTV-2H265_4000
CCTV-3 综艺,https://php.61073736.repl.co/sxg.php?id=CCTV-3H265_4000
CCTV-4 中文国际,https://php.61073736.repl.co/sxg.php?id=CCTV-4H265_4000
CCTV-5 体育,https://php.61073736.repl.co/sxg.php?id=CCTV-5H265_4000
CCTV-5+ 体育赛事,https://php.61073736.repl.co/sxg.php?id=CCTV-5plusH265_4000
CCTV-6 电影,https://php.61073736.repl.co/sxg.php?id=CCTV-6H265_4000
CCTV-7 国防军事,https://php.61073736.repl.co/sxg.php?id=CCTV-7H265_4000
CCTV-8 电视剧,https://php.61073736.repl.co/sxg.php?id=CCTV-8H265_4000
CCTV-9 纪录,https://php.61073736.repl.co/sxg.php?id=CCTV-9H265_4000
CCTV-10 科教,https://php.61073736.repl.co/sxg.php?id=CCTV-10H265_4000
CCTV-11 戏曲,https://php.61073736.repl.co/sxg.php?id=CCTV-11-H265_4000
CCTV-12 社会与法,https://php.61073736.repl.co/sxg.php?id=CCTV-12H265_4000
CCTV-13 新闻,https://php.61073736.repl.co/sxg.php?id=CCTV-xw_4000
CCTV-14 少儿,https://php.61073736.repl.co/sxg.php?id=CCTV-14H265_4000
CCTV-15 音乐,https://php.61073736.repl.co/sxg.php?id=CCTV-15-yyH265_4000
CCTV-16 奥林匹克,https://php.61073736.repl.co/sxg.php?id=CCTV-16_4000
CCTV-16 奥林匹克 4K,https://php.61073736.repl.co/sxg.php?id=CCTV-16-4K_8000
CCTV-17 农业农村,https://php.61073736.repl.co/sxg.php?id=CCTV-17_4000
CCTV-1 综合,http://135.148.104.228:19806/5cb2056ba225422aab04f0ff6c1a1ad9
CCTV-2 财经,http://135.148.104.228:19806/1c7a2a5c0c384637bb942eb49cc1e0ee
CCTV-3 综艺,http://135.148.104.228:19806/18330ef800b2458892c9761dab67e610
CCTV-4 中文国际,http://135.148.104.228:19806/53697021440d41b180890cab9ba1cd96
CCTV-5 体育,http://135.148.104.228:19806/0126636bbd494267ae7f17c8abc8521f
CCTV-5+ 体育赛事,http://135.148.104.228:19806/631fd43e577344b6ab6bd628dfa384ca
CCTV-6 电影,http://135.148.104.228:19806/8cf06c01d4a14947a753a183865d1031
CCTV-7 国防军事,http://135.148.104.228:19806/06fccec521bf42c29c0803f7a4c40c03
CCTV-8 电视剧,http://135.148.104.228:19806/890497d5070b48069ec157bbb85e27bf
